name,consistency_rating_points,submission_rating_points,consistency_rating,submission_rating,final_rating
adityakumar2.nmims,-2.102068966,-56,0.6,0.3,0.45
madan969461,-1.743472506,-70,0.6,0.2,0.4
subhasispujapanda255,-4.095315024,-39,0.4,0.4,0.4
rawatravisingh97,-4.563679245,-45,0.4,0.3,0.35
chetrisagar932,-4.586894587,-35,0.3,0.4,0.35
pythoncse786,-5.165510114,-34,0.3,0.4,0.35
piyushmagarde,-5.488006978,-44,0.3,0.4,0.35
gagandeep27598,-5.780252413,-34,0.3,0.4,0.35
vivekkore100,-6.630339196,-31,0.2,0.5,0.35
Rohitgaikwad726,-6.840363937,-30,0.2,0.5,0.35
mansoorisameer1786,-4.965175772,-46,0.3,0.3,0.3
roshanibhute03,-4.245706575,-83,0.4,0.1,0.25
enikhila2000,-5.86244753,-51,0.2,0.3,0.25
sanjibgorai7,-6.680428135,-51,0.2,0.3,0.25
bhagatumashankar69,-6.212286909,-74,0.2,0.2,0.2
souravakash123,-8.809710642,-71,0.1,0.2,0.15
poojanagankeri,-8.929503916,-57,0.1,0.2,0.15
athakur555,-18.41763943,-71,0.1,0.2,0.15
banavi8457,-12.04109128,-100,0.1,0.1,0.1
sengarshitendra,-12.49651422,-75,0.1,0.1,0.1
nachiketa9839,-23.20597916,-119,0,0.1,0.05
Sejalchouhan35,-21.96668324,-155,0,0,0
